Alpha;SVM_1;SVM_2;SVM_3;WSVM_1;WSVM_2;WSVM_3;LSTM_1;LSTM_2;LSTM_3
1.03;0.633333333;0.666666667;0.733333333;0.6;0.633333333;0.666666667;0.8;0.833333333;0.866666667
1.055;0.766666667;0.8;0.833333333;0.666666667;0.7;0.733333333;0.733333333;0.766666667;0.8
1.08;0.633333333;0.666666667;0.7;0.6;0.633333333;0.666666667;0.766666667;0.8;0.833333333
1.105;0.833333333;0.866666667;0.9;0.833333333;0.866666667;0.9;0.9;0.933333333;0.966666667
1.13;-1;-1;-1;-1;-1;-1;0.933333333;0.966666667;1
1.155;0.966666667;1;-1;0.9;0.933333333;0.966666667;1;-1;-1
1.18;0.833333333;0.866666667;0.9;0.733333333;0.8;0.833333333;0.966666667;1;-1
1.205;0.733333333;0.8;0.866666667;0.733333333;0.766666667;0.8;0.8;0.833333333;0.866666667
1.23;0.433333333;0.466666667;0.5;0.433333333;0.466666667;0.5;0.333333333;0.366666667;0.4
1.255;0.7;0.733333333;0.766666667;0.666666667;0.7;0.733333333;0.7;0.733333333;0.766666667
1.28;-1;-1;-1;0.933333333;0.966666667;-1;0.9;0.933333333;1
1.305;0.633333333;0.666666667;0.7;0.6;0.633333333;0.666666667;0.633333333;0.666666667;0.7
1.33;0.566666667;0.6;0.633333333;0.5;0.533333333;0.566666667;0.333333333;0.366666667;0.4
1.355;0.766666667;0.8;0.833333333;0.733333333;0.766666667;0.8;0.866666667;0.9;0.933333333
1.38;0.8;0.833333333;0.866666667;0.8;0.833333333;0.866666667;0.9;0.933333333;0.966666667
1.405;0.766666667;0.833333333;0.9;0.633333333;0.666666667;0.766666667;0.866666667;0.933333333;-1
1.43;0.9;0.933333333;0.966666667;0.833333333;0.866666667;0.9;0.9;0.933333333;0.966666667
1.455;0.766666667;0.8;0.833333333;0.7;0.733333333;0.766666667;0.833333333;0.866666667;0.9
1.48;0.5;0.533333333;0.566666667;0.5;0.533333333;0.566666667;0.566666667;0.666666667;0.733333333
1.505;0.933333333;0.966666667;1;0.866666667;0.9;0.933333333;0.933333333;0.966666667;1
1.53;0.8;0.833333333;0.866666667;0.733333333;0.766666667;0.8;0.8;0.833333333;0.866666667
1.555;0.6;0.633333333;0.666666667;0.6;0.633333333;0.666666667;0.766666667;0.8;0.833333333
